AssessmentCAID,PropertyID,TaxYear,ClassCode,TotalMarketValue,SpecialMobileValue,MarketValue,EstPenalty,AppliedMarket,TaxClass,TaxablePercent,TotalTaxableValue,SpecialMobileTaxable,TaxableValue,AppliedTaxableValue,ClassQuantity,TotMills,TaxAmount
31314,555208,2019,6511,90272.000000,0.000000,90272.000000,17104.000000,85518.000000,8,1.500000,1283.000000,0.000000,1283.000000,1283.000000,0.000000,634.630,814.230000
31315,555208,2019,6311,51470.000000,0.000000,51470.000000,9752.000000,48759.000000,8,1.500000,731.000000,0.000000,731.000000,731.000000,33.000000,634.630,463.910000
31316,555208,2019,6300,2888.000000,0.000000,2888.000000,0.000000,2888.000000,8,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,634.630,0.000000
31317,555208,2019,6514,1149556.000000,0.000000,1149556.000000,217803.000000,1089015.000000,8,1.500000,16335.000000,0.000000,16335.000000,16335.000000,23.000000,634.630,10366.680000
31318,555208,2019,6519,750.000000,0.000000,750.000000,142.000000,711.000000,8,1.500000,11.000000,0.000000,11.000000,11.000000,1.000000,634.630,6.980000
37962,555208,2019,6404,606768.000000,NULL,606768.000000,114963.000000,574813.000000,8,0.750000,4311.000000,NULL,4311.000000,4311.000000,1.000000,634.630,2735.890000
37297,556637,2019,6511,5250.000000,0.000000,5250.000000,0.000000,5230.000000,8,1.500000,78.000000,0.000000,78.000000,78.000000,0.000000,468.900,36.570000
37298,556637,2019,6311,115.000000,0.000000,115.000000,0.000000,115.000000,8,1.500000,2.000000,0.000000,2.000000,2.000000,0.000000,468.900,0.940000
37299,556637,2019,6519,250.000000,0.000000,250.000000,0.000000,249.000000,8,1.500000,4.000000,0.000000,4.000000,4.000000,1.000000,468.900,1.880000
41179,556637,2019,6101,4306.000000,NULL,4306.000000,NULL,4306.000000,8,1.500000,65.000000,NULL,65.000000,65.000000,NULL,468.900,30.480000
41180,556637,2019,6103,-4306.000000,NULL,-4306.000000,NULL,-4306.000000,8,NULL,NULL,NULL,NULL,NULL,NULL,468.900,NULL
53607,1514270,2019,8111,105205.000000,0.000000,105205.000000,0.000000,105205.000000,1,100.000000,105205.000000,0.000000,105205.000000,105205.000000,0.000000,485.600,51087.550000
31335,567549,2019,6511,154962.000000,0.000000,154962.000000,0.000000,142446.000000,8,1.500000,2137.000000,0.000000,2137.000000,2137.000000,0.000000,485.600,1037.730000
31336,567549,2019,6311,1277.000000,0.000000,1277.000000,0.000000,1174.000000,8,1.500000,18.000000,0.000000,18.000000,18.000000,9.000000,485.600,8.740000
