AssessmentPPID,PropertyID,TaxYear,ClassCode,EstimatedFlag,UnderThresholdFlag,TotalMarketValue,SpecialMobileValue,EstPenalty,MarketValue,TaxClass,TaxablePercent,TotalTaxableValue,SpecialMobileTaxable,TaxableValue,ClassQuantity,TIFBaseValue,TIFIncrementalValue,TotalMills,TaxAmount
304796,1570973,2019,6311,No,Yes,0.000000,0.000000,0.000000,0.000000,8,1.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,634.630,0.000000
304797,1570973,2019,6519,No,Yes,0.000000,0.000000,0.000000,0.000000,8,1.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,634.630,0.000000
298366,1573936,2019,6311,No,No,10685.000000,NULL,NULL,10685.000000,8,1.500000,158.000000,NULL,158.000000,NULL,NULL,NULL,485.600,76.720000
307791,1573936,2019,6101,No,No,1999.000000,NULL,NULL,1999.000000,8,1.500000,30.000000,NULL,30.000000,NULL,NULL,NULL,485.600,14.570000
307792,1573936,2019,6103,No,No,-1999.000000,NULL,NULL,-1999.000000,8,NULL,NULL,NULL,NULL,NULL,NULL,NULL,485.600,NULL
298367,1573937,2019,6511,No,No,29191.000000,NULL,0.000000,29191.000000,8,1.500000,431.000000,NULL,431.000000,NULL,NULL,NULL,638.050,275.000000
307862,1573937,2019,6101,No,No,617.000000,NULL,NULL,617.000000,8,1.500000,9.000000,NULL,9.000000,NULL,NULL,NULL,638.050,5.740000
307863,1573937,2019,6103,No,No,-617.000000,NULL,NULL,-617.000000,8,NULL,NULL,NULL,NULL,NULL,NULL,NULL,638.050,NULL
298371,1573939,2019,6511,No,No,41038.000000,NULL,NULL,41038.000000,8,1.500000,606.000000,NULL,606.000000,NULL,NULL,NULL,557.520,337.860000
307705,1573939,2019,6101,No,No,867.000000,NULL,NULL,867.000000,8,1.500000,13.000000,NULL,13.000000,NULL,NULL,NULL,557.520,7.250000
307706,1573939,2019,6103,No,No,-867.000000,NULL,NULL,-867.000000,8,NULL,NULL,NULL,NULL,NULL,NULL,NULL,557.520,NULL
298369,1573940,2019,6511,No,No,32879.000000,NULL,0.000000,32879.000000,8,1.500000,485.000000,NULL,485.000000,NULL,NULL,NULL,575.190,278.970000
307639,1573940,2019,6101,No,No,695.000000,NULL,NULL,695.000000,8,1.500000,10.000000,NULL,10.000000,NULL,NULL,NULL,575.190,5.750000
307640,1573940,2019,6103,No,No,-695.000000,NULL,NULL,-695.000000,8,NULL,NULL,NULL,NULL,NULL,NULL,NULL,575.190,NULL
298370,1573946,2019,6311,No,No,88554.000000,NULL,NULL,88554.000000,8,1.500000,1310.000000,NULL,1310.000000,NULL,NULL,NULL,626.010,820.070000
307868,1573946,2019,6101,No,No,14363.000000,NULL,NULL,14363.000000,8,1.500000,215.000000,NULL,215.000000,NULL,NULL,NULL,626.010,134.590000
307869,1573946,2019,6103,No,No,-14363.000000,NULL,NULL,-14363.000000,8,NULL,NULL,NULL,NULL,NULL,NULL,NULL,626.010,NULL
298372,1573966,2019,6311,No,No,34938.000000,NULL,NULL,34938.000000,8,1.500000,517.000000,NULL,517.000000,NULL,NULL,NULL,633.060,327.290000
307943,1573966,2019,6101,No,No,5667.000000,NULL,NULL,5667.000000,8,1.500000,85.000000,NULL,85.000000,NULL,NULL,NULL,633.060,53.810000
