Code,Description
1101,1101 - Tillable Irrigated Land
1151,1151 - Exempt Tillable Irrigated Land
1401,1401 - Tillable Non-Irrigated Land/Summer/Fallow
1451,1451 - Exempt Tillable Non-Irrigated Land/Summer/Fallow
1501,"1501 - Tillable, Non-Irrigated, Continuously Cropped"
1551,"1551 - Exempt Tillable, Non-Irrigated, Continuously Cropped"
1601,1601 - Grazing Land
1651,1651 - Exempt Grazing Land
1701,1701 - Non-Qualified Ag Land 20-160 Acres
1751,1751 - Exempt Non-Qualified Ag Land 20-160 Acres
1801,1801 - Wild Hay Land
1851,1851 - Exempt Wild Hay Land
1901,1901 - Forestland
1951,1951 - Exempt Forestland
2001,"2001 - 1 Acre Farmstead - Ag 15-7-202(1)(c)(ii), MCA"
2002,2002 - 1 Acre Bldg. Site on Non-Qualified Ag Land
2003,2003 - 1 Acre Bldg. Site - Forest
2032,2032 - Property Tax Asst Bldg Site 80% reduction
2035,2035 - Property Tax Asst Bldg Site 50% reduction
2037,2037 - Property Tax Asst Bldg Site 30% reduction
2040,2040 - MDV Bldg Site Exempt
2042,2042 - MDV Bldg Site 80% reduction
2043,2043 - MDV Bldg Site 70% reduction
2045,2045 - MDV Bldg Site 50% reduction
2094,2094 - SB 94 Land Value Property Tax Assistance
2101,2101 - Tract Land
2107,2107 - Commercial Tract Land
2109,2109 - Locally Assessed Co-op Tract Land
2118,2118 - Nonproductive Patented Mining Claim
2127,2127 - Multifamily Tract Land
2132,2132 - Property Tax Asst Land 80% reduction
2135,2135 - Property Tax Asst Land 50% reduction
2137,2137 - Property Tax Asst Land 30% reduction
2140,2140 - MDV Land Exempt
2141,2141 - MDV Land 80% reduction
2142,2142 - MDV Land 70% reduction
2143,2143 - MDV Land 50% reduction
2150,2150 - Exempt Res or Sub. Land/1 Acre Farmstead
2151,2151 - Exempt Agricultural Land
2152,2152 - Exempt Forestland
2153,2153 - Exempt Commercial Land
2154,2154 - Exempt Industrial Land
2155,2155 - Exempt Deeded R/W Land
2156,2156 - Exempt Navigable River Ag Land
2157,2157 - Exempt Navigable River Non-Qual Ag Land
2158,2158 - Exempt Navigable River Forest Land
2159,2159 - Exempt Navigable River Tract Land
2160,2160 - Designated Open Space Land
2201,2201 - Residential City or Town Lots
2207,2207 - Commercial City or Town Lots
2209,2209 - Locally Assessed Co-op/City or Town Lots
2227,2227 - Multifamily City/Town Lots
2311,2311 - Golf Course Land
2610,2610 - Lease Land - Tower Site
2611,2611 - Industrial Land
2615,2615 - Locally Assessed Co-op Ind. Land
2651,2651 - New Industry Land
2652,2652 - Research and Development Land
3109,3109 - Imps Ag or Forest Land (Multijurisdictional Dist)
3110,3110 - Improvements on Ag Land
3111,3111 - Imps on Disparately Owned Agricultural or Forest Land
3112,3112 - Imps on Disparately Owned Ag/Timber ($1500)
3137,3137 - Property Tax Asst Imp 80% reduction
3140,3140 - Property Tax Asst Imp 50% reduction
3142,3142 - Property Tax Asst Imp 30% reduction
3145,3145 - MDV Exempt Improvements
3146,3146 - MDV Imp 80% reduction
3147,3147 - MDV Imp 70% reduction
3148,3148 - MDV Imp 50% reduction
3149,3149 - Residential/Suburban Exempt Improvements
3150,3150 - Commercial Exempt Improvements
3151,3151 - Ag or Forest Exempt Improvements
3152,3152 - Industrial Exempt Improvements
3153,3153 - Improvements on Designated Open Space Land
3200,3200-Residential Historic Property Tax Abatement-Yr of cnstr
3201,3201 - Residential Historic Property Tax Abatement 1st year
3202,3202 - Residential Historic Property Tax Abatement 2nd year
3203,3202 - Residential Historic Property Tax Abatement 2nd year
3204,3204 - Residential Historic Property Tax Abatement 4th year
3205,3205 - Residential Historic Property Tax Abatement 5th year
3210,3210 -Commercial Historic Property Tax Abatement-Yr of cnstr
