ComID,PropertyID,TaxYear,BuildingNumber,UnitsPerBldg,StructureType,StructureType_Desc,IdenticalUnits,Grade,BuildingName,ClassCode,YearBuilt,YearEffective,YearRemod,PctComplete,Comments,PctCompleteFactor,ECF,CountyIndex,GradeFactor,RCN,UnAdjRCNLD,RCNLD,ElevatorUnAdjRCNLD,ElevatorECNLD,AvgSFCost,AvgPctGood,TotalIdenticalUnits,TotalRCNLD,TotCostArea
303834956,622350,2019,1,1.000000,338,338 - Parking Garage/Deck,1.000000,A,NULL,3507,1984.000000,1985.000000,NULL,NULL,NULL,1.000000,1.260000,0.970000,1.000000,115030.000000,17993.000000,21991.000000,0.000000,0.000000,8.800000,0.156000,1.000000,21990.000000,2500.000000
272155748,622351,2019,1,1.000000,353,"353 - Office Building, Low Rise (1 to 4 stories)",1.000000,F,NULL,3507,1958.000000,2000.000000,2007.000000,NULL,NULL,1.000000,1.260000,0.970000,0.840000,337220.000000,242799.000000,296749.000000,0.000000,0.000000,70.990000,0.720000,1.000000,296750.000000,4180.000000
350761435,622355,2019,2,3.000000,397,397 - Flex Warehouse,1.000000,G,NULL,3507,1997.000000,NULL,NULL,NULL,NULL,1.000000,1.260000,0.970000,1.330000,160300.000000,107401.000000,131265.000000,0.000000,0.000000,37.000000,0.670000,1.000000,131270.000000,3548.000000
350761473,622356,2019,1,1.000000,397,397 - Flex Warehouse,1.000000,G,NULL,3507,1997.000000,NULL,NULL,NULL,NULL,1.000000,1.260000,0.970000,1.330000,185820.000000,124499.000000,152163.000000,0.000000,0.000000,47.550000,0.670000,1.000000,152160.000000,3200.000000
285082037,622363,2019,1,1.000000,610,610 - Library,1.000000,G,NULL,3507,1900.000000,1990.000000,1999.000000,NULL,NULL,1.000000,1.260000,0.970000,1.330000,988500.000000,648500.000000,792597.000000,79640.000000,84929.000000,253.550000,0.656000,1.000000,877530.000000,3126.000000
271784361,622414,2019,1,1.000000,353,"353 - Office Building, Low Rise (1 to 4 stories)",1.000000,A,NULL,3507,2014.000000,NULL,NULL,NULL,NULL,1.000000,1.260000,0.970000,1.000000,819580.000000,754013.000000,921555.000000,0.000000,0.000000,143.810000,0.920000,1.000000,921560.000000,6408.000000
331321759,622415,2019,1,1.000000,353,"353 - Office Building, Low Rise (1 to 4 stories)",1.000000,G,NULL,3507,2001.000000,NULL,NULL,NULL,NULL,1.000000,1.260000,0.970000,1.330000,5725660.000000,4283434.000000,5235213.000000,75060.000000,91278.000000,163.760000,0.748000,1.000000,5326490.000000,31969.000000
344923581,622416,2019,2 - 1209,3.000000,211,"211 - Apartments, Garden (3 stories & less)",1.000000,E,NULL,3527,2017.000000,NULL,NULL,NULL,NULL,1.000000,1.570000,0.970000,1.840000,318290.000000,315108.000000,479878.000000,0.000000,0.000000,235.230000,0.990000,1.000000,479880.000000,2040.000000
300667210,622431,2019,1,1.000000,393,393 - Distribution Warehouse,1.000000,A,NULL,3507,1998.000000,2000.000000,NULL,NULL,NULL,1.000000,1.260000,0.970000,1.000000,1307520.000000,915264.000000,1118636.000000,0.000000,0.000000,33.740000,0.700000,1.000000,1118640.000000,33151.000000
351301961,622447,2019,1,1.000000,398,398 - Warehouse,1.000000,G,Crescent Electric,3507,2001.000000,2005.000000,NULL,NULL,NULL,1.000000,1.260000,0.970000,1.330000,965420.000000,733718.000000,896751.000000,0.000000,0.000000,71.730000,0.760000,1.000000,896750.000000,12501.000000
368349737,622448,2019,1,1.000000,398,398 - Warehouse,1.000000,A,Mt Gardens/TG Construction,3307,1998.000000,2005.000000,2012.000000,NULL,NULL,1.000000,1.260000,0.970000,1.000000,245390.000000,185879.000000,227182.000000,0.000000,0.000000,50.540000,0.757000,1.000000,227180.000000,4495.000000
363861755,622545,2019,1,1.000000,353,"353 - Office Building, Low Rise (1 to 4 stories)",1.000000,A,NULL,3507,2002.000000,2005.000000,NULL,NULL,NULL,1.000000,1.260000,0.970000,1.000000,1922440.000000,1537372.000000,1878977.000000,0.000000,0.000000,88.390000,0.800000,1.000000,1878980.000000,21258.000000
363866310,622546,2019,1,1.000000,374,"374 - Multi-purpose, Retail, multi-occupancy",1.000000,A,NULL,3507,2017.000000,NULL,NULL,NULL,NULL,1.000000,1.260000,0.970000,1.000000,1910080.000000,1890980.000000,2311154.000000,0.000000,0.000000,95.040000,0.990000,1.000000,2311150.000000,24318.000000
283921101,622549,2019,10,4.000000,104,"104 - Residential, 4-family",1.000000,A,Units 83-86,3527,2001.000000,NULL,NULL,NULL,NULL,1.000000,1.570000,0.970000,1.000000,168660.000000,128182.000000,195208.000000,0.000000,0.000000,100.110000,0.760000,1.000000,195210.000000,1950.000000
363477470,622554,2019,14 N CHURC,2.000000,321,321 - Restaurant,1.000000,G,14 North,3507,1961.000000,2005.000000,2013.000000,NULL,NULL,1.000000,1.260000,0.970000,1.330000,1392240.000000,1030258.000000,1259181.000000,0.000000,0.000000,157.670000,0.740000,1.000000,1259180.000000,7986.000000
