PropertyID,TaxYear,CondoMasterId
622355,2019,590681
622356,2019,590681
622357,2019,590513
622362,2019,590513
622367,2019,590513
622424,2019,590513
622425,2019,590513
622426,2019,590513
622427,2019,590513
622428,2019,590513
622554,2019,592119
622555,2019,600790
622556,2019,600790
622557,2019,600790
622558,2019,617594
622559,2019,617594
622580,2019,637428
622584,2019,636115
622611,2019,1528206
622612,2019,1528206
622628,2019,611843
622636,2019,637428
622637,2019,637428
622638,2019,637428
622639,2019,637428
622640,2019,611843
622641,2019,611843
622642,2019,611843
622643,2019,611843
622644,2019,1528152
622645,2019,1528152
622646,2019,1528152
622647,2019,1528152
622648,2019,1528152
622649,2019,1528152
622650,2019,611843
622651,2019,611843
622652,2019,611843
622653,2019,611843
622654,2019,611843
622655,2019,628897
622656,2019,628897
622657,2019,598018
622658,2019,598018
622659,2019,598018
622660,2019,598018
622662,2019,636115
622663,2019,636115
622664,2019,636115
622665,2019,636115
622666,2019,636189
622687,2019,643777
622690,2019,643777
622695,2019,628897
622696,2019,636115
622745,2019,598661
622746,2019,598661
622747,2019,598661
622748,2019,598661
622749,2019,598661
622750,2019,598661
622751,2019,598661
622752,2019,598661
622753,2019,598661
622754,2019,598661
622755,2019,598661
622756,2019,598661
622757,2019,598661
622758,2019,598661
622759,2019,598661
622760,2019,598661
622761,2019,598661
622762,2019,598661
622763,2019,598661
622764,2019,598661
622765,2019,598661
622766,2019,598661
622767,2019,598661
622768,2019,598661
622769,2019,598661
622770,2019,598661
622771,2019,598661
622772,2019,598661
622773,2019,598661
622774,2019,598661
622775,2019,598661
622776,2019,598661
622777,2019,598661
622778,2019,598661
622779,2019,598661
622780,2019,598661
622781,2019,598661
622782,2019,598661
622783,2019,598661
622784,2019,598661
622785,2019,598661
622786,2019,598661
622845,2019,623730
622846,2019,623730
622847,2019,623730
622851,2019,644078
622852,2019,644078
622853,2019,644078
622854,2019,644078
622855,2019,644078
622856,2019,644078
622857,2019,644078
622858,2019,643777
622859,2019,643777
622860,2019,643777
622861,2019,643777
622862,2019,643777
622863,2019,643777
622864,2019,643777
622865,2019,643777
622866,2019,643777
622867,2019,643777
622868,2019,643777
622869,2019,643777
622870,2019,643777
622871,2019,643777
622872,2019,643777
622873,2019,643777
622874,2019,643777
622875,2019,643777
622876,2019,643777
622877,2019,643777
622878,2019,643777
622879,2019,643777
622880,2019,643777
622881,2019,643777
622882,2019,643777
622883,2019,643777
622884,2019,643777
622885,2019,643777
622886,2019,643777
622887,2019,643777
622888,2019,643777
622889,2019,643777
622890,2019,643777
622891,2019,643777
622892,2019,643777
622893,2019,643777
622894,2019,643777
622895,2019,643777
622896,2019,643777
622897,2019,643777
622898,2019,643777
622907,2019,590512
622909,2019,590512
622910,2019,590512
622911,2019,590512
622912,2019,590512
622914,2019,598198
622915,2019,598198
622916,2019,598198
622917,2019,1528159
622918,2019,1528159
622919,2019,612766
622920,2019,612766
622921,2019,612766
622922,2019,612766
622927,2019,643777
622928,2019,643777
622929,2019,643777
622930,2019,643777
622931,2019,643777
622932,2019,643777
622933,2019,643777
622934,2019,643777
622935,2019,643777
622936,2019,643777
622937,2019,643777
622938,2019,643777
622939,2019,643777
622940,2019,643777
622941,2019,643777
622942,2019,643777
622943,2019,643777
622944,2019,643777
622945,2019,643777
622946,2019,643777
622947,2019,643777
622948,2019,643777
622949,2019,643777
622950,2019,643777
622951,2019,643777
622952,2019,643777
622953,2019,643777
622954,2019,643777
622955,2019,643777
622956,2019,643777
622957,2019,643777
622958,2019,643777
622959,2019,643777
622961,2019,643777
622962,2019,643777
622963,2019,643777
622965,2019,643777
622966,2019,643777
622967,2019,643777
622968,2019,643777
622969,2019,643777
1426876,2019,1426873
1426878,2019,1426873
1426911,2019,1426873
1426912,2019,1426873
1426920,2019,1426918
1426921,2019,1426918
1426922,2019,1426918
1426938,2019,1426930
1571700,2019,620068
1571701,2019,620068
1572391,2019,596651
1572392,2019,596651
1572393,2019,596651
1572394,2019,596651
1572395,2019,596651
1572396,2019,596651
1572469,2019,1488247
1572470,2019,1488247
1572471,2019,1488247
1572472,2019,1488247
1572473,2019,1488247
1573335,2019,611474
1573336,2019,611474
1573337,2019,611474
1573338,2019,611474
1573339,2019,611474
1573340,2019,611474
1573341,2019,611474
1573342,2019,611474
1573394,2019,1541268
1573395,2019,1541268
1573396,2019,1541268
1573397,2019,1541268
1573398,2019,1541268
1573399,2019,1541268
1573400,2019,1541268
1573401,2019,1541268
1573589,2019,1564773
1573590,2019,1564773
1573591,2019,1564773
1573592,2019,1564773
1573598,2019,639563
1573599,2019,639563
1573600,2019,639563
1573601,2019,639563
1573602,2019,639563
1573603,2019,639563
1573604,2019,639563
1573605,2019,639563
1573606,2019,639563
1573607,2019,639563
1573608,2019,639563
1573609,2019,639563
1573610,2019,639563
1573674,2019,1576693
1573675,2019,1576693
1573676,2019,1576693
1573677,2019,1576693
1573678,2019,640994
1573726,2019,603862
1573727,2019,603862
1573728,2019,603862
1573729,2019,603862
1573730,2019,603862
1573731,2019,603862
1573881,2019,1455116
1573882,2019,1455116
1573883,2019,1455116
1573884,2019,1455116
1573885,2019,1455116
1573886,2019,1455116
1573887,2019,1455116
1573893,2019,608264
1573894,2019,608264
1573901,2019,619561
1573902,2019,619561
1573904,2019,619561
1573905,2019,619561
1573906,2019,619561
1573907,2019,619561
1573908,2019,619561
1573909,2019,619561
1573910,2019,619561
1573911,2019,619561
1573912,2019,619561
1573913,2019,619561
1573914,2019,619561
1573915,2019,619561
1573916,2019,619561
1573948,2019,642107
1573949,2019,642107
1573950,2019,642107
1573951,2019,1573947
1573952,2019,1573947
1573953,2019,1573947
1573954,2019,1573947
1573955,2019,1573947
1573956,2019,1573947
1573986,2019,1453509
1573987,2019,1453509
1573988,2019,1453509
1573989,2019,1453509
1573990,2019,1453509
1573991,2019,1453509
1573995,2019,1554360
1573996,2019,1554360
1573997,2019,1554360
1573998,2019,1554360
1573999,2019,1554360
1574000,2019,1554360
1574001,2019,1554360
1574002,2019,1554360
1574003,2019,1554360
1574004,2019,1554360
1574005,2019,1554360
1574006,2019,1554360
1574007,2019,1554360
1574032,2019,1576635
1574033,2019,1576635
1574034,2019,1576635
1574035,2019,1576635
1574036,2019,1576635
1574037,2019,1576635
1574038,2019,1576635
1574039,2019,1576635
1574040,2019,1576635
1574041,2019,1576635
1574042,2019,1576635
1574043,2019,1576635
1574044,2019,611485
1574045,2019,611485
1574050,2019,1572319
1574051,2019,1572319
1574052,2019,1572319
1574053,2019,1572319
1574054,2019,1572319
1574055,2019,1572319
1574056,2019,1572319
1574057,2019,1572319
1574058,2019,1572319
1574059,2019,1572319
1574060,2019,1572319
1574061,2019,1572319
1574062,2019,1572319
1574063,2019,1572319
1574064,2019,1572319
1574065,2019,1572319
1574066,2019,1572319
1574067,2019,1572319
1574068,2019,1572319
1574069,2019,1572319
1574070,2019,1572319
1574071,2019,1572319
1574072,2019,1572319
1574073,2019,1572319
1574074,2019,1572319
1574075,2019,1572319
1574076,2019,1572319
1574077,2019,1572319
1574078,2019,1572319
1574079,2019,1572319
1574080,2019,1572319
1574081,2019,1572319
1574082,2019,1572319
1574083,2019,1572319
1574084,2019,1572319
1574085,2019,1572319
1574086,2019,1572319
1574087,2019,1572319
1574088,2019,1572319
1574089,2019,1572319
1574113,2019,641619
1574114,2019,641619
1574115,2019,641619
1574116,2019,641619
1574132,2019,1576690
1574133,2019,629065
1574134,2019,629065
1574137,2019,624215
1574138,2019,624215
1574139,2019,624215
1574140,2019,624215
1574141,2019,624215
1574142,2019,624215
1574143,2019,624215
1574144,2019,624215
1574145,2019,624215
1574146,2019,624215
1574147,2019,624215
1574148,2019,624215
1574149,2019,624215
1574150,2019,624215
1574151,2019,624215
1574152,2019,624215
1574158,2019,632475
1574159,2019,632475
1574160,2019,632475
1574161,2019,632475
1574162,2019,632475
1574163,2019,632475
1574164,2019,632475
1574165,2019,632475
1574166,2019,632475
1574167,2019,632475
1574168,2019,632475
1574169,2019,632475
1574170,2019,632475
1574171,2019,632475
1574172,2019,632475
1574173,2019,632475
1574174,2019,632475
1574175,2019,632475
1574176,2019,632475
1574177,2019,632475
1574178,2019,632475
1574179,2019,632475
1574180,2019,632475
1574181,2019,632475
1574182,2019,632475
1574183,2019,632475
1574184,2019,632475
1574185,2019,632475
1574186,2019,632475
1574187,2019,632475
1574188,2019,632475
1574189,2019,632475
1574190,2019,632475
1574191,2019,632475
1574192,2019,632475
1574193,2019,632475
1574194,2019,632475
1574195,2019,632475
1574206,2019,632475
1574207,2019,632475
1574208,2019,632475
1574209,2019,632475
1574210,2019,632475
1574211,2019,632475
1574212,2019,632475
1574213,2019,632475
1574214,2019,632475
1574215,2019,632475
1574216,2019,632475
1574217,2019,632475
1574218,2019,632475
1574219,2019,632475
1574220,2019,632475
1574221,2019,632475
1574222,2019,632475
1574223,2019,632475
1574224,2019,632475
1574225,2019,632475
1574226,2019,632475
1574227,2019,632475
1574228,2019,632475
1574229,2019,632475
1574230,2019,632475
1574231,2019,632475
1574232,2019,632475
1574233,2019,632475
1574234,2019,632475
1574235,2019,632475
1574236,2019,632475
1574237,2019,632475
1574238,2019,632475
1574239,2019,632475
1574240,2019,632475
1574241,2019,632475
1574242,2019,632475
1574243,2019,632475
1574244,2019,632475
1574245,2019,632475
1574246,2019,632475
1574247,2019,632475
1574248,2019,632475
1574249,2019,632475
1574250,2019,632475
1574251,2019,632475
1574252,2019,632475
1574257,2019,632475
1574258,2019,632475
1574259,2019,632475
1574260,2019,632475
1574261,2019,632475
1574262,2019,632475
1574263,2019,632475
1574264,2019,632475
1574265,2019,632475
1574266,2019,632475
1574267,2019,632475
1574268,2019,632475
1574269,2019,632475
1574270,2019,632475
1574271,2019,632475
1574272,2019,632475
1574273,2019,632475
1574274,2019,632475
1574275,2019,632475
1574276,2019,632475
1574277,2019,632475
1574278,2019,632475
1574279,2019,632475
1574280,2019,632475
1574281,2019,632475
1574282,2019,632475
1574283,2019,632475
1574284,2019,632475
1574285,2019,632475
1574286,2019,632475
1574287,2019,632475
1574288,2019,632475
1574289,2019,632475
1574290,2019,632475
1574291,2019,632475
1574292,2019,632475
1574293,2019,632475
1574294,2019,632475
1574295,2019,632475
1574296,2019,632475
1574297,2019,632475
1574298,2019,632475
1574299,2019,632475
1574300,2019,632475
1574302,2019,632475
1574303,2019,632475
1574304,2019,632475
1574305,2019,632475
1574306,2019,632475
1574307,2019,632475
1574308,2019,632475
1574309,2019,632475
1574310,2019,632475
1574311,2019,632475
1574312,2019,632475
1574313,2019,632475
1574314,2019,632475
1574315,2019,632475
1574316,2019,632475
1574317,2019,632475
1574318,2019,632475
1574319,2019,632475
1574320,2019,632475
1574321,2019,632475
1574322,2019,632475
1574323,2019,632475
1574324,2019,632475
1574325,2019,632475
1574326,2019,632475
1574327,2019,632475
1574328,2019,632475
1574329,2019,632475
1574330,2019,632475
1574331,2019,632475
1574332,2019,632475
1574333,2019,632475
1574334,2019,632475
1574335,2019,632475
1574336,2019,632475
1574337,2019,632475
1574338,2019,632475
1574339,2019,632475
1574340,2019,632475
1574341,2019,632475
1574342,2019,632475
1574343,2019,632475
1574344,2019,632475
1574345,2019,632475
1574346,2019,632475
1574347,2019,632475
1574348,2019,632475
1574349,2019,632475
1574350,2019,632475
1574351,2019,632475
1574489,2019,632475
1575122,2019,619561
1575123,2019,619561
1575124,2019,619561
1575125,2019,619561
1575126,2019,619561
630669,2019,620967
630698,2019,590712
630699,2019,590712
630700,2019,590712
630701,2019,590712
630931,2019,613294
631006,2019,590712
631007,2019,590712
631008,2019,590712
631009,2019,590712
631010,2019,590712
631011,2019,590712
631012,2019,590712
631013,2019,590712
631014,2019,590712
631015,2019,590712
631016,2019,590712
631017,2019,590712
631018,2019,590712
631019,2019,590712
631053,2019,590712
631054,2019,590712
631209,2019,613294
631210,2019,613294
631211,2019,613294
631212,2019,613294
631213,2019,613294
631214,2019,613294
631215,2019,613294
631805,2019,610034
631845,2019,616887
631865,2019,616887
631901,2019,616887
631902,2019,638342
631953,2019,638342
631969,2019,616887
631970,2019,616887
631982,2019,610034
631984,2019,610034
631991,2019,638342
632023,2019,637177
632037,2019,616887
632047,2019,638342
632048,2019,638342
632049,2019,638342
632050,2019,638342
632051,2019,610034
632052,2019,610034
632053,2019,610034
632054,2019,610034
632074,2019,616887
632093,2019,638342
632122,2019,610034
632137,2019,610034
632154,2019,616887
632169,2019,594404
632171,2019,610034
632172,2019,610034
632173,2019,610034
632179,2019,594404
632180,2019,594404
632181,2019,610034
632183,2019,610034
632184,2019,610034
632185,2019,610034
632188,2019,594404
632189,2019,594404
632190,2019,594404
632194,2019,637177
632195,2019,637177
632196,2019,637177
632197,2019,637177
632198,2019,637177
632199,2019,637177
632200,2019,637177
632201,2019,594404
639572,2019,602642
639573,2019,590516
639613,2019,616483
639625,2019,620514
639666,2019,609512
639668,2019,609512
639669,2019,613493
639699,2019,609512
639700,2019,609512
639701,2019,609512
639702,2019,609512
639703,2019,609512
639704,2019,609512
639705,2019,609512
639706,2019,609512
639707,2019,609512
639708,2019,609512
639709,2019,609512
639710,2019,609512
639711,2019,609512
639712,2019,609512
639713,2019,609512
639714,2019,609512
639715,2019,609512
639716,2019,609512
639717,2019,609512
639718,2019,609512
639719,2019,609512
639720,2019,609512
639721,2019,609512
639722,2019,609512
639723,2019,609512
639724,2019,609512
639725,2019,609512
639726,2019,609512
639727,2019,609512
639728,2019,609512
639729,2019,609512
639759,2019,626380
639764,2019,590516
639766,2019,593916
639768,2019,609512
639784,2019,590736
639812,2019,590516
639823,2019,618390
639824,2019,609512
639851,2019,593916
639858,2019,639132
639867,2019,593916
639901,2019,609512
639920,2019,609512
639926,2019,593916
640031,2019,593916
640036,2019,593916
640037,2019,609512
640069,2019,631866
640070,2019,631866
640106,2019,636578
640125,2019,590788
640126,2019,590788
640127,2019,590788
640128,2019,590788
640139,2019,611337
640202,2019,593916
640219,2019,609512
640221,2019,593916
640280,2019,594587
640287,2019,632732
640337,2019,593916
640349,2019,593916
640352,2019,590516
640402,2019,614879
640403,2019,614879
640404,2019,614879
640405,2019,614879
640419,2019,628696
640421,2019,628696
640427,2019,593916
640449,2019,609512
640461,2019,590707
640482,2019,636658
640759,2019,601618
640871,2019,620008
640872,2019,620008
640873,2019,620008
640874,2019,620008
640905,2019,620008
640932,2019,620008
640970,2019,620008
641020,2019,625803
641165,2019,590512
641192,2019,637515
641206,2019,590692
641207,2019,590692
641208,2019,590692
641209,2019,590692
641210,2019,590692
641211,2019,590692
641212,2019,590692
641213,2019,590692
641214,2019,590692
641215,2019,590692
641216,2019,590692
641217,2019,590692
641218,2019,590692
641219,2019,590692
641220,2019,590692
641221,2019,590692
641222,2019,590692
641223,2019,590692
641224,2019,590692
641225,2019,590692
641226,2019,590692
641227,2019,590692
641228,2019,590692
641229,2019,590692
641230,2019,590692
641231,2019,590692
641232,2019,590692
641233,2019,590692
641234,2019,590692
641235,2019,590692
641236,2019,590692
641237,2019,590692
641238,2019,590692
641239,2019,590692
641240,2019,590692
641241,2019,590692
641242,2019,590692
641243,2019,590692
641244,2019,590692
641245,2019,590692
641246,2019,1576634
641247,2019,1576634
641248,2019,1576634
641249,2019,1576634
641259,2019,597351
641284,2019,611843
641307,2019,590692
641311,2019,636430
641338,2019,597351
641347,2019,596159
641360,2019,598018
641361,2019,598018
641365,2019,637515
641367,2019,636158
641368,2019,623568
641382,2019,596159
641409,2019,638718
641433,2019,631445
641455,2019,623730
641486,2019,615376
641489,2019,1576634
641517,2019,596159
1428617,2019,1428605
1428631,2019,1428630
1428632,2019,1428630
1428633,2019,1428630
1428634,2019,1428630
1428635,2019,1428630
1428636,2019,1428630
1428637,2019,1428630
1426107,2019,1426098
1426113,2019,1426098
1426118,2019,1426116
1426119,2019,1426116
1426133,2019,1426127
1426135,2019,1426127
1426136,2019,1426127
1426137,2019,1426127
1426138,2019,1426127
1426141,2019,1426127
1426164,2019,1426150
1426165,2019,1426150
1426166,2019,1426150
1426168,2019,1426150
1426177,2019,1426171
1426179,2019,1426171
1426180,2019,1426171
1426184,2019,1426171
1426277,2019,1425626
1426278,2019,1425626
1426279,2019,1425626
