PropertyID,TaxYear,LinkedProperty,LinkType,LinkTypeDesc,LinkedPropertyID
622404,2019,06-0799-22-3-01-70-0000,60218,3 - Agricultural (tieback is primary parcel),621760
622431,2019,06-00RGH43142-001,123025,Real Property/Personal Property Link,572886
622593,2019,06-0799-06-1-01-40-0000,127509,9 - Other,643685
622626,2019,06-0799-08-2-07-01-0000,60218,3 - Agricultural (tieback is primary parcel),622627
622689,2019,06-0799-08-2-06-01-0000,60218,3 - Agricultural (tieback is primary parcel),622626
622689,2019,06-0799-08-2-07-01-0000,60218,3 - Agricultural (tieback is primary parcel),622627
622725,2019,06-0799-07-1-15-27-0000,123025,Real Property/Personal Property Link,622724
622998,2019,06-0799-22-3-01-70-0000,60218,3 - Agricultural (tieback is primary parcel),621760
622998,2019,06-0799-22-3-01-50-0000,60218,3 - Agricultural (tieback is primary parcel),622404
623076,2019,06-00RGI16500-001,123025,Real Property/Personal Property Link,572969
623097,2019,06-00RGI16518-001,123025,Real Property/Personal Property Link,572979
623103,2019,06-00RGI16525-001,123025,Real Property/Personal Property Link,572984
623104,2019,06-00RGI16529-001,123025,Real Property/Personal Property Link,572989
623105,2019,06-0800-14-4-05-01-0000,60218,3 - Agricultural (tieback is primary parcel),623348
623105,2019,06-0800-23-1-01-01-0000,60218,3 - Agricultural (tieback is primary parcel),623364
623105,2019,06-0800-23-2-20-08-0000,60218,3 - Agricultural (tieback is primary parcel),623551
623105,2019,06-0800-23-4-01-01-0000,60218,3 - Agricultural (tieback is primary parcel),623349
623123,2019,06-00RGI16548-001,123025,Real Property/Personal Property Link,572995
623148,2019,06-00RGI22386-001,123025,Real Property/Personal Property Link,573002
623172,2019,06-00RGI25733-001,123025,Real Property/Personal Property Link,573009
623174,2019,06-00RGI26606-001,123025,Real Property/Personal Property Link,573013
623223,2019,06-00RGI28438-001,123025,Real Property/Personal Property Link,573023
623260,2019,06-0800-18-2-02-03-8001,60219,4 - MH Linked to Land in Same Ownership,645692
623260,2019,06-0800-18-2-02-03-0002,60219,4 - MH Linked to Land in Same Ownership,645692
623348,2019,06-0800-23-1-01-01-0000,60218,3 - Agricultural (tieback is primary parcel),623364
623348,2019,06-0800-23-4-01-01-0000,60218,3 - Agricultural (tieback is primary parcel),623349
623364,2019,06-0800-23-4-01-01-0000,60218,3 - Agricultural (tieback is primary parcel),623349
623417,2019,06-0800-23-2-08-01-8001,60216,1 - Imps Linked to Land Owned by Others,645659
623417,2019,06-0800-23-4-01-01-8001,60216,1 - Imps Linked to Land Owned by Others,645659
623417,2019,06-0800-23-4-01-01-0002,60216,1 - Imps Linked to Land Owned by Others,645659
623461,2019,06-0800-08-1-01-01-0000,60218,3 - Agricultural (tieback is primary parcel),644913
623510,2019,06-00RGI16506-001,123025,Real Property/Personal Property Link,572974
623551,2019,06-0800-23-1-01-01-0000,60218,3 - Agricultural (tieback is primary parcel),623364
623551,2019,06-0800-14-4-05-01-0000,60218,3 - Agricultural (tieback is primary parcel),623348
623551,2019,06-0800-23-4-01-01-0000,60218,3 - Agricultural (tieback is primary parcel),623349
623556,2019,06-00RHE10278-001,123025,Real Property/Personal Property Link,573064
623556,2019,06-00RHE10278-001-D,123025,Real Property/Personal Property Link,573063
623563,2019,06-0696-26-2-01-01-0000,123025,Real Property/Personal Property Link,623562
623578,2019,06-00RHE12813-001,123025,Real Property/Personal Property Link,573068
623594,2019,06-00RHF12400-001,123025,Real Property/Personal Property Link,573074
623598,2019,06-00RHF12403-001,123025,Real Property/Personal Property Link,573078
623628,2019,06-00RHF12435-001,123025,Real Property/Personal Property Link,573086
623645,2019,06-00RHF12455-001,123025,Real Property/Personal Property Link,573094
623654,2019,06-00RHF12465-001,123025,Real Property/Personal Property Link,573099
623660,2019,06-00RHF12472-001,123025,Real Property/Personal Property Link,573104
623669,2019,06-00RHF12483-001,123025,Real Property/Personal Property Link,573111
623669,2019,06-00RHF12483-001-D,123025,Real Property/Personal Property Link,573110
623694,2019,06-00RHF12509-001,123025,Real Property/Personal Property Link,573118
623745,2019,06-00RHF12578-001,123025,Real Property/Personal Property Link,573131
623771,2019,06-00RHF12612-001,123025,Real Property/Personal Property Link,573138
623779,2019,06-00RHF12634-001,123025,Real Property/Personal Property Link,573145
623785,2019,06-00RHF12644-001,123025,Real Property/Personal Property Link,573150
623785,2019,06-0697-11-3-01-45-0000,127509,9 - Other,624368
623802,2019,06-00RHF12664-001,123025,Real Property/Personal Property Link,573156
623803,2019,06-00RHF12665-001,123025,Real Property/Personal Property Link,573160
623875,2019,06-00RHF12739-001,123025,Real Property/Personal Property Link,573177
623926,2019,06-00RHF12790-001,123025,Real Property/Personal Property Link,573187
623987,2019,06-0697-24-2-02-01-0000,60218,3 - Agricultural (tieback is primary parcel),624006
623987,2019,06-0697-24-2-03-17-0000,60218,3 - Agricultural (tieback is primary parcel),624281
624001,2019,06-00RHF12868-001,123025,Real Property/Personal Property Link,573198
624004,2019,06-0697-24-2-02-01-0000,60218,3 - Agricultural (tieback is primary parcel),624006
624004,2019,06-0697-24-2-03-01-0000,60218,3 - Agricultural (tieback is primary parcel),623987
624004,2019,06-0697-24-2-03-17-0000,60218,3 - Agricultural (tieback is primary parcel),624281
624014,2019,06-0697-01-4-01-10-0000,60218,3 - Agricultural (tieback is primary parcel),624208
624060,2019,06-00RHF20282-001,123025,Real Property/Personal Property Link,573211
624161,2019,06-00RHF22431-001,123025,Real Property/Personal Property Link,573226
624172,2019,06-00RHF23829-001,123025,Real Property/Personal Property Link,573243
624174,2019,06-00RHF23831-001,123025,Real Property/Personal Property Link,573247
624175,2019,06-00RHF23835-001,123025,Real Property/Personal Property Link,573252
624210,2019,06-00RHF27532-001,123025,Real Property/Personal Property Link,573260
624214,2019,06-00RHF27576-001,123025,Real Property/Personal Property Link,573265
624216,2019,06-00RHF28180-001,123025,Real Property/Personal Property Link,573269
624257,2019,06-00RHF28856-001,123025,Real Property/Personal Property Link,573283
624263,2019,06-0697-23-1-06-01-0000,60218,3 - Agricultural (tieback is primary parcel),624262
624264,2019,06-0697-23-1-03-01-0000,60218,3 - Agricultural (tieback is primary parcel),624263
624264,2019,06-0697-23-1-06-01-0000,60218,3 - Agricultural (tieback is primary parcel),624262
624281,2019,06-0697-24-2-02-01-0000,60218,3 - Agricultural (tieback is primary parcel),624006
1571124,2019,06-0904-14-1-01-02-0000,127508,8 - Split,636742
1571125,2019,06-0904-14-1-01-02-0000,127508,8 - Split,636742
1571204,2019,06-0799-16-4-01-82-0000,127508,8 - Split,644674
1571205,2019,06-0799-16-4-01-82-0000,127508,8 - Split,644674
1571206,2019,06-0799-16-4-01-82-0000,127508,8 - Split,644674
1571207,2019,06-0799-16-4-01-82-0000,127508,8 - Split,644674
1571208,2019,06-0799-16-4-01-82-0000,127508,8 - Split,644674
1571209,2019,06-0799-16-4-01-82-0000,127508,8 - Split,644674
1571210,2019,06-0799-16-4-01-82-0000,127508,8 - Split,644674
1571211,2019,06-0799-16-4-01-82-0000,127508,8 - Split,644674
1571212,2019,06-0799-16-4-01-82-0000,127508,8 - Split,644674
1571213,2019,06-0799-16-4-01-82-0000,127508,8 - Split,644674
1571373,2019,06-0905-29-2-01-15-0000,127508,8 - Split,608722
1571374,2019,06-0905-29-2-02-01-0000,127508,8 - Split,608981
1571423,2019,06-1007-30-1-01-11-0000,127508,8 - Split,595157
1571444,2019,06-0797-01-4-01-10-0000,127508,8 - Split,1540973
1571445,2019,06-0797-01-4-01-10-0000,127508,8 - Split,1540973
1571446,2019,06-0797-01-4-01-10-0000,127508,8 - Split,1540973
1571449,2019,06-0903-34-3-02-03-0000,127508,8 - Split,1478879
1571459,2019,06-1010-35-1-01-48-0000,127508,8 - Split,595887
1571460,2019,06-1010-35-1-01-48-0000,127508,8 - Split,595887
1571461,2019,06-1010-35-1-01-48-0000,127508,8 - Split,595887
1571462,2019,06-1010-35-1-01-48-0000,127508,8 - Split,595887
1571463,2019,06-1010-35-1-01-48-0000,127508,8 - Split,595887
1571464,2019,06-1010-35-1-01-48-0000,127508,8 - Split,595887
1571465,2019,06-1010-35-1-01-48-0000,127508,8 - Split,595887
1571466,2019,06-1010-35-1-01-48-0000,127508,8 - Split,595887
1571467,2019,06-1010-35-1-01-48-0000,127508,8 - Split,595887
1571468,2019,06-1010-35-1-01-48-0000,127508,8 - Split,595887
1571469,2019,06-1010-35-1-01-48-0000,127508,8 - Split,595887
1571470,2019,06-1010-35-1-01-48-0000,127508,8 - Split,595887
1571471,2019,06-1010-35-1-01-48-0000,127508,8 - Split,595887
1571472,2019,06-1010-35-1-01-48-0000,127508,8 - Split,595887
1571473,2019,06-1010-35-1-01-48-0000,127508,8 - Split,595887
1571474,2019,06-1010-35-1-01-48-0000,127508,8 - Split,595887
1571475,2019,06-1010-35-1-01-48-0000,127508,8 - Split,595887
1571476,2019,06-1010-35-1-01-48-0000,127508,8 - Split,595887
1571477,2019,06-1010-35-1-01-48-0000,127508,8 - Split,595887
1571478,2019,06-1010-35-1-01-48-0000,127508,8 - Split,595887
1571479,2019,06-1010-35-1-01-48-0000,127508,8 - Split,595887
1571480,2019,06-1010-35-1-01-48-0000,127508,8 - Split,595887
1571481,2019,06-1010-35-1-01-48-0000,127508,8 - Split,595887
1571482,2019,06-1010-35-1-01-48-0000,127508,8 - Split,595887
1571483,2019,06-1010-35-1-01-48-0000,127508,8 - Split,595887
1571484,2019,06-1010-35-1-01-48-0000,127508,8 - Split,595887
1571485,2019,06-1010-35-1-01-48-0000,127508,8 - Split,595887
1571486,2019,06-1010-35-1-01-48-0000,127508,8 - Split,595887
1571487,2019,06-1010-35-1-01-48-0000,127508,8 - Split,595887
1571488,2019,06-1010-35-1-01-48-0000,127508,8 - Split,595887
1571489,2019,06-1010-35-1-01-48-0000,127508,8 - Split,595887
1571490,2019,06-1010-35-1-01-48-0000,127508,8 - Split,595887
1571491,2019,06-1010-35-1-01-48-0000,127508,8 - Split,595887
1571492,2019,06-1010-35-1-01-48-0000,127508,8 - Split,595887
1571493,2019,06-1010-35-1-01-48-0000,127508,8 - Split,595887
